Currency,Time,Bid,Ask
Currency,Time,Bid,Ask
EUR_USD,12:32:46,1.12433,1.12445
EUR_USD,12:33:04,1.12437,1.1245
EUR_USD,12:33:04,1.12434,1.12448
Currency,Time,Bid,Ask
EUR_USD,12:33:16,1.12434,1.12449
EUR_USD,12:33:19,1.12437,1.1245
EUR_USD,12:33:20,1.1244,1.12452
Currency,Time,Bid,Ask
Currency,Time,Bid,Ask
Currency,Time,Bid,Ask
EUR_USD,12:57:18,1.12475,1.12487
EUR_USD,12:57:19,1.12473,1.12485
EUR_USD,12:57:22,1.12475,1.12487
Currency,Time,Bid,Ask
EUR_USD,12:57:53,1.12475,1.12487
Currency,Time,Bid,Ask
EUR_USD,12:59:30,1.12466,1.12477
EUR_USD,12:59:38,1.12468,1.1248
Currency,Time,Bid,Ask
EUR_USD,13:02:12,1.12456,1.12468
EUR_USD,13:02:20,1.1244,1.12459
EUR_USD,13:02:20,1.12438,1.12451
EUR_USD,13:02:20,1.12436,1.12448
Currency,Time,Bid,Ask
EUR_USD,13:02:43,1.12437,1.1245
EUR_USD,13:02:45,1.1244,1.12452
EUR_USD,13:02:45,1.12442,1.12454
EUR_USD,13:02:46,1.1244,1.12452
EUR_USD,13:02:46,1.12438,1.1245
EUR_USD,13:02:48,1.12435,1.12448
Currency,Time,Bid,Ask
EUR_USD,13:03:41,1.12424,1.12436
EUR_USD,13:03:46,1.12426,1.12439
Currency,Time,Bid,Ask
EUR_USD,13:04:25,1.1243,1.1244
EUR_USD,13:04:37,1.12424,1.12436
EUR_USD,13:04:47,1.12428,1.1244
EUR_USD,13:04:47,1.12433,1.12445
EUR_USD,13:04:49,1.1243,1.12443
EUR_USD,13:04:49,1.12428,1.1244
EUR_USD,13:04:55,1.12423,1.12436
EUR_USD,13:04:58,1.12414,1.12427
EUR_USD,13:04:58,1.12417,1.12429
EUR_USD,13:04:58,1.12415,1.12426
EUR_USD,13:05:00,1.12417,1.12429
EUR_USD,13:05:00,1.12419,1.12432
EUR_USD,13:05:00,1.12427,1.12448
EUR_USD,13:05:00,1.12436,1.12451
EUR_USD,13:05:01,1.1243,1.12443
EUR_USD,13:05:01,1.12429,1.1244
Currency,Time,Bid,Ask
EUR_USD,13:05:20,1.12413,1.12425
